event_id,account_id,user_id,event_date,content_type,content_id,minutes_spent,completed_flag
E001,A001,U1001,2026-04-01,Case Study,CS-401,42,true
E002,A001,U1002,2026-04-02,Simulation,SIM-119,18,false
E003,A001,U1003,2026-04-04,Case Study,CS-401,37,true
E004,A002,U2001,2026-04-01,Course,CR-220,25,false
E005,A002,U2002,2026-04-03,Course,CR-220,31,true
E006,A002,U2003,2026-04-05,Article,AR-018,9,true
E007,A003,U3001,2026-04-02,Simulation,SIM-119,45,true
E008,A003,U3002,2026-04-07,Course,CR-220,12,false
E009,A004,U4001,2026-04-08,Article,AR-018,6,true
E010,A004,U4002,2026-04-09,Case Study,CS-515,34,true
E011,A005,U5001,2026-04-01,Course,CR-330,11,false
E012,A005,U5002,2026-04-13,Course,CR-330,8,false
E013,A005,U5003,2026-04-15,Article,AR-018,4,true
E014,A006,U6001,2026-04-16,Case Study,CS-515,28,true
E015,A006,U6002,2026-04-18,Simulation,SIM-210,22,false
E016,A002,U2004,2026-04-20,Simulation,SIM-210,44,true
E017,A003,U3003,2026-04-21,Case Study,CS-401,39,true
E018,A001,U1004,2026-04-24,Article,AR-018,7,true
